1, 306.261, 6.158, 14.369, 6.158, 0.411
101, 61.572, 79.642, 15.19, 0.821, 0.821
201, 94.823, 88.678, 36.949, 1.232, 1.232
301, 88.676, 112.081, 23.4, 1.232, 2.053
401, 87.028, 124.395, 32.432, 1.642, 2.053
501, 97.302, 138.356, 36.949, 1.232, 0.411
601, 66.903, 132.199, 42.286, 1.232, 1.642
701, 68.558, 179.407, 88.266, 0.821, 1.232
801, 173.651, 204.033, 62.401, 3.285, 1.642
901, 377.689, 204.048, 73.076, 2.053, 2.053
1001, 130.958, 160.944, 59.939, 2.874, 2.053
1101, 167.504, 218.414, 99.35, 2.053, 2.464
1201, 159.286, 184.333, 70.613, 2.464, 1.642
1301, 148.616, 225.378, 75.949, 5.748, 2.874
1401, 144.516, 165.859, 50.085, 2.052, 1.231
1501, 134.244, 178.176, 68.56, 2.053, 1.231
1601, 144.507, 178.174, 55.833, 2.463, 1.231
1701, 140.817, 147.789, 61.991, 2.053, 1.642
1801, 149.026, 153.54, 60.349, 1.232, 1.642
1901, 162.163, 268.486, 102.224, 1.231, 1.643
2001, 229.9, 217.18, 71.434, 2.052, 1.642
2101, 208.964, 244.269, 78.002, 4.926, 2.053
2201, 169.956, 188.021, 89.498, 3.695, 2.053
2301, 190.894, 198.701, 84.16, 0.821, 5.747
2401, 184.747, 202.803, 84.571, 4.106, 2.053
2501, 201.572, 206.494, 85.392, 1.232, 1.642
2601, 225.373, 236.06, 107.971, 16.011, 8.621
2701, 262.752, 251.247, 128.499, 5.337, 2.874
2801, 220.871, 246.742, 140.404, 11.495, 25.454
2901, 236.47, 267.263, 209.785, 13.138, 16.832
3001, 314.061, 268.488, 100.992, 3.284, 2.463
3101, 240.574, 249.191, 102.635, 1.231, 2.463
3201, 250.434, 253.701, 105.097, 0.821, 2.053
3301, 410.538, 385.49, 110.845, 2.053, 2.463
3401, 266.856, 303.374, 112.898, 3.284, 2.463
3501, 276.304, 300.53, 121.109, 4.516, 2.874
3601, 191.714, 236.466, 108.792, 3.695, 4.106
3701, 270.949, 172.015, 103.456, 19.295, 20.116
3801, 277.114, 137.539, 33.664, 3.284, 2.873
3901, 206.097, 217.172, 68.97, 4.927, 4.926
4001, 198.688, 150.673, 64.865, 4.106, 3.285
4101, 208.142, 131.777, 35.716, 4.926, 2.874
4201, 132.194, 138.762, 49.264, 4.927, 3.695
4301, 210.193, 139.99, 45.569, 2.874, 3.695
4401, 136.709, 144.097, 40.644, 2.053, 3.284
4501, 131.779, 165.445, 46.801, 1.642, 3.695
4601, 164.623, 194.589, 39.822, 2.874, 3.284
4701, 197.06, 190.905, 43.107, 4.516, 3.694
4801, 182.275, 173.245, 39.001, 2.463, 3.284
4901, 148.199, 157.233, 85.802, 3.284, 3.695
5001, 143.278, 148.623, 40.643, 1.231, 3.284
5101, 133.838, 154.771, 16.422, 1.643, 4.516
5201, 224.556, 184.741, 17.653, 4.927, 4.105
5301, 164.211, 200.344, 128.909, 49.265, 28.327
5401, 270.951, 316.53, 113.308, 5.337, 22.99
5501, 264.79, 502.5, 27.096, 4.106, 9.032
5601, 357.164, 329.67, 23.401, 7.389, 8.21
