1, 156.825, 6.568, 7.389, 2.463, 0.0
501, 227.421, 201.159, 36.949, 0.821, 0.0
1001, 155.591, 458.983, 78.002, 0.411, 0.0
1501, 156.008, 295.579, 59.528, 0.411, 0.0
2001, 303.013, 471.706, 120.288, 1.642, 0.41
2501, 238.522, 582.562, 144.92, 0.821, 0.41
3001, 399.036, 792.329, 151.078, 1.642, 0.411
3501, 323.919, 811.633, 114.951, 1.232, 0.411
4001, 318.57, 1348.194, 170.784, 2.052, 0.0
4501, 436.801, 1574.774, 225.385, 1.642, 0.0
5001, 386.319, 1525.148, 209.374, 2.463, 0.0
5501, 418.341, 1879.032, 183.51, 2.053, 0.0
6001, 508.248, 2133.972, 198.289, 1.643, 0.0
6501, 609.649, 2306.809, 210.195, 0.821, 0.0
7001, 574.763, 2680.778, 231.133, 0.821, 0.411
7501, 862.12, 3366.387, 246.733, 1.231, 0.41
8001, 398.629, 3169.781, 263.155, 1.232, 0.411
8501, 180.223, 3597.147, 94.013, 1.642, 0.0
9001, 345.68, 4351.261, 82.518, 1.642, 0.0
9501, 224.151, 4631.698, 75.539, 1.232, 0.411
